date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-12-04,0,0,1,6446 S bell ave,60636,16,66,41.77660154380521,-87.67978756280658
2018-12-04,1,0,0,6522 S ashland ave,60636,15,67,41.77542859227105,-87.66410991283416
2018-12-04,0,1,0,4630 S evans ave,60653,4,38,41.81078352887871,-87.60783648984602
2018-12-04,0,0,1,8951 S union ave,60620,21,71,41.73165833708734,-87.64106132167225
2018-12-04,0,1,0,1844 N winchester ave,60622,32,22,41.914971445028236,-87.67634384750744
2018-12-04,0,1,0,6049 S kildare ave,60629,13,65,41.7831368360423,-87.73021769509465
2018-12-04,0,0,0,11592 S michigan ave,60628,9,53,41.68271984084466,-87.62066357112698
2018-12-04,0,0,1,11713 S morgan st,60643,34,53,41.68114378511901,-87.64688850665965
2018-12-04,0,0,1,12709 S union ave,60628,9,53,41.66301779985963,-87.6390029641515
2018-12-09,0,0,0,4907 W berteau ave,60641,45,15,41.957034360275166,-87.75039501245247
2018-05-03,0,1,1,8438 S gilbert ct,60620,21,71,41.73990380787067,-87.64221117057558
2018-05-03,0,0,1,4211 W lawrence ave,60630,39,14,41.968181318241946,-87.7334355643697
2018-05-03,0,0,1,7318 S aberdeen st,60621,17,68,41.76112253500069,-87.65158756283623
2018-05-03,0,0,0,8233 S brandon ave,60617,7,46,41.74593041451171,-87.54671242491122
2018-05-03,0,0,0,3607 W 60th pl,60629,23,65,41.78335504703206,-87.71345107159365
2018-12-05,0,0,1,7401 S dobson ave,60619,8,69,41.75916600005182,-87.59931124168445
2018-12-05,0,0,0,5006 S elizabeth st,60609,20,61,41.80314398725636,-87.65631820915902
2018-05-03,0,0,0,2101 E 79th st,60649,8,46,41.75163820597138,-87.5735039465847
2018-12-05,0,0,0,7820 S rhodes ave,60619,6,69,41.75263488216699,-87.61132889157263
2018-05-03,0,0,0,7859 S coles ave,60649,7,43,41.753121677785344,-87.55144669252083
